t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
54.480000000000004,0.5658409975978393,-0.043577756136395945,8.715549644186925,2.636657746757049e-09,-5e-05,-5e-05,-2.4203010378283496
54.5,0.5649684424700981,-0.043627756387057556,8.725549644186925,-2.506616127598314e-10,-5e-05,-5e-05,-2.3703073116162803
54.52,0.5640948873053561,-0.0436777582371043,8.735549644186925,-1.8500467424571383e-09,-5e-05,-5e-05,-2.3202562875047037
54.54,0.5632203320748431,-0.043727761525648064,8.745549644186925,-3.288543765943865e-09,-5e-05,-5e-05,-2.2701479638452216
54.56,0.5623447767970846,-0.04377776388792609,8.755549644186924,-2.362278025443376e-09,-5e-05,-5e-05,-2.219982341699254
54.58,0.5614682214998461,-0.0438277648619264,8.765549644186924,-9.740003068804193e-10,-5e-05,-5e-05,-2.169759422657652
54.6,0.5605906662428206,-0.04387776285127519,8.775549644186924,2.010651206205632e-09,-5e-05,-5e-05,-2.1194792101405735
54.620000000000005,0.5597121110014018,-0.04392776207093975,8.785549644186924,7.803354389000381e-10,-5e-05,-5e-05,-2.0691417027381807
54.64,0.5588325557493836,-0.04397776260091319,8.795549644186924,-5.299734399942084e-10,-5e-05,-5e-05,-2.0187468989489714
54.660000000000004,0.5579520004974033,-0.04402776259901594,8.805549644186923,1.897254778844363e-12,-5e-05,-5e-05,-1.9682947993824227
54.68,0.5570704452626701,-0.04407776173665923,8.815549644186923,8.623567111036809e-10,-5e-05,-5e-05,-1.9177854050245453
54.7,0.5561878900002226,-0.0441277631223731,8.825549644186923,-1.385713874743674e-09,-5e-05,-5e-05,-1.867218713299242
54.72,0.5553043347254948,-0.04417776373639305,8.835549644186923,-6.140199554946921e-10,-5e-05,-5e-05,-1.8165947250908152
54.74,0.5544197794780111,-0.044227762374185325,8.845549644186923,1.3622077274254589e-09,-5e-05,-5e-05,-1.7659134426638516
54.76,0.5535342241560728,-0.044277766096919274,8.855549644186922,-3.722733950476065e-09,-5e-05,-5e-05,-1.7151748601914356
54.78,0.5526476688718418,-0.04432776421155109,8.865549644186922,1.885368187076297e-09,-5e-05,-5e-05,-1.6643789840999792
54.800000000000004,0.5517601135645873,-0.044377765362722886,8.875549644186922,-1.1511718001678718e-09,-5e-05,-5e-05,-1.6135258109098602
54.82,0.5508715583495982,-0.04442776074945347,8.885549644186922,4.613269419400331e-09,-5e-05,-5e-05,-1.5626153472266455
54.84,0.5499820029816063,-0.044477768399596516,8.895549644186922,-7.650143051239658e-09,-5e-05,-5e-05,-1.5116475789974995
54.86,0.5490914476088606,-0.04452776863728244,8.905549644186921,-2.376859215697298e-10,-5e-05,-5e-05,-1.4606225147164753
54.88,0.5481998922924544,-0.044577765820314134,8.915549644186921,2.816968305290956e-09,-5e-05,-5e-05,-1.4095401578839448
54.9,0.5473073369298488,-0.044627768130279306,8.92554964418692,-2.30996517296455e-09,-5e-05,-5e-05,-1.3584005026248767
54.92,0.5464137815891792,-0.044677767033480746,8.93554964418692,1.0967985576087825e-09,-5e-05,-5e-05,-1.3072035528431343
54.94,0.5455192261829034,-0.044727770313788925,8.94554964418692,-3.2803081787804107e-09,-5e-05,-5e-05,-1.25594930352292
54.96,0.5446236707613921,-0.044777771075564334,8.95554964418692,-7.61775409657905e-10,-5e-05,-5e-05,-1.2046377575502618
54.980000000000004,0.5437271152087758,-0.044827777630812075,8.96554964418692,-6.555247740251336e-09,-5e-05,-5e-05,-1.1532689082863314
55.0,0.5428295597336725,-0.04487777375516582,8.97554964418692,3.875646251750786e-09,-5e-05,-5e-05,-1.1018427676840536
55.02,0.5419310042962943,-0.04492777186891425,8.98554964418692,1.8862515670047095e-09,-5e-05,-5e-05,-1.0503593334637473
55.04,0.5410314488120905,-0.04497777421018896,8.99554964418692,-2.3412747075931528e-09,-5e-05,-5e-05,-0.9988186007810264
55.06,0.5401308932989081,-0.04502777565912077,9.00554964418692,-1.4489318084519905e-09,-5e-05,-5e-05,-0.9472205706584331
55.08,0.5392293378249573,-0.045077773697538875,9.015549644186919,1.9615818943312568e-09,-5e-05,-5e-05,-0.8955652470041376
55.1,0.5383267823118357,-0.045127775656077576,9.025549644186919,-1.958538697890992e-09,-5e-05,-5e-05,-0.8438526253260071
